,10123,07/22/2023 17:55:19
TrackIt,9817,07/22/2023 17:55:29
C:\Users\brend\source\repos\TrackIt\TrackIt\Storage.csv - Notepad++,10001,07/22/2023 17:55:39
Nightcore - Unstoppable - YouTube - Google Chrome,9993,07/22/2023 17:55:49
