ApplicationName,ScreenTimeCollect,DateCollected
TrackIt,510945,07/13/2023 15:41:31
Notepad++,129338,07/13/2023 15:41:51
Steam,128901,07/13/2023 15:43:42
Stellaris,8559941,07/13/2023 15:44:22
Google Chrome,129964,07/13/2023 15:45:32
Discord,20135,07/13/2023 17:59:32
Genshin Impact,79848,07/13/2023 17:59:32
MainWindow,20000,07/13/2023 21:24:13
Search,42274,07/14/2023 08:37:24
Discord,59997,07/14/2023 08:37:43
Notepad++,469801,07/14/2023 08:38:03
Google Chrome,3920654,07/14/2023 08:40:23
Steam,5419926,07/14/2023 08:42:03
OneDrive - Arden Anglican School,9608,07/14/2023 09:34:13
TrackIt,729632,07/14/2023 09:34:33
Microsoft Visual Studio,50070,07/14/2023 09:47:13
Visual Studio Installer,89940,07/14/2023 09:47:33
ConsoleApp13 - Microsoft Visual Studio,79910,07/14/2023 09:52:13
Task Manager,40003,07/14/2023 10:09:23
Genshin Impact,79848,07/14/2023 10:09:23
